fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2014-03-21,7787000,275078000,-0.03,,0.028308334363344217,
2013-12-31,2014-03-21,18705000,436255000,0.09,,0.04287629941204112,
2014-12-31,2015-03-11,17117000,460654000,0.84,,0.037158040524992726,
2015-12-31,2016-02-26,8705000,471303000,0.42,,0.01847007127049902,
2020-03-31,2021-05-27,139228000,426485000,-1.51,,0.32645462325755886,
2021-03-31,2021-05-27,-56094000,897613000,2.32,,-0.06249241042631958,
2022-03-31,2022-05-31,-15791000,835815000,-0.55,,-0.018892936834108025,
2022-12-31,2024-03-06,9215000,787307000,0.32,,0.011704455822188804,
2023-12-31,2024-03-06,-6780000,823687000,-0.24,,-0.008231282028246167,
2024-12-31,2025-02-27,94797000,891707000,3.21,,0.1063095837534078,
2025-12-31,2026-02-26,129074000,1059705000,4.32,,0.12180182220523636,
