fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2012-12-31,2015-03-16,74665000,201257000,7.13,,0.37099330706509587,
2013-12-31,2015-03-16,84392000,191332000,8.06,,0.44107624443375915,
2014-12-31,2015-03-16,22812000,53875000,2.13,,0.4234245939675174,
2015-12-31,2016-03-15,30973000,89310000,2.86,,0.34680326951069307,
2016-12-31,2017-03-01,23655000,117401000,2.16,,0.20148891406376437,
2017-12-31,2018-03-01,59497000,183372000,5.31,,0.3244606592064219,
2018-12-31,2019-02-26,35296000,221300000,3.1,,0.1594938996836873,
2019-12-31,2020-03-03,34716000,261381000,2.99,,0.1328176110734904,
2020-12-31,2021-03-02,36951000,304938000,3.14,,0.1211754520591071,
2021-12-31,2022-03-07,45728000,350087000,3.86,,0.130618960429836,
2022-12-31,2023-03-02,-14330000,997079000,-0.68,,-0.014371980555201743,
2023-12-31,2024-03-05,-22573000,990800000,-0.73,,-0.022782599919257168,
2024-12-31,2025-02-24,34684000,1026152000,1.08,,0.0338000608097046,
2025-12-31,2026-02-23,77882000,1084636000,2.45,,0.07180473449157136,
