fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-08-27,2012-10-23,11843000,108730000,0.41,,,-10119000,2109000,0.10892118090683343,,-12228000,,
2012-08-25,2012-10-23,44972000,144691000,1.54,,,115000,2213000,0.3108140796594121,,-2098000,,
2013-08-31,2013-10-29,31953000,170729000,1.13,,,10238000,4422000,0.1871562534777337,,5816000,,
2014-08-30,2014-10-28,45053000,192748000,1.64,,,23236000,10476000,0.23374042791624297,,12760000,,
2015-08-29,2015-10-27,41210000,220963000,1.52,,,45183000,16573000,0.18650181252064826,,28610000,,
2016-08-27,2016-10-18,45496000,268359000,1.68,,,52746000,24551000,0.1695340942543384,,28195000,,
2017-08-26,2017-10-20,71330000,441674000,2.32,,,97127000,13993000,0.16149920529621395,,83134000,,
2018-08-25,2018-10-18,102357000,534445000,3.22,,,83346000,28668000,0.1915201751349531,,54678000,,
2019-08-31,2019-10-23,111798000,632212000,3.52,,,133750000,40858000,0.17683625113094975,,92892000,,
2020-08-29,2020-10-21,61442000,827466000,1.84,,886234000.0,270434000,32377000,0.07425320194424907,,238057000,,1.0710216492278837
2021-08-28,2021-10-20,281871000,1056943000,8.28,,1005624000.0,237279000,44891000,0.2666851476380467,,192388000,,0.9514458206355498
2022-08-27,2022-10-19,390636000,1263007000,11.84,,1153650000.0,400622000,87969000,0.3092904473213529,,312653000,,0.9134153650771532
2023-08-26,2023-10-18,215900000,1368100000,6.23,,1064300000.0,294500000,83200000,0.15781010160076017,,211300000,,0.7779402090490461
2024-08-31,2024-10-23,13000000,1273300000,0.44,,1110900000.0,143900000,45000000,0.010209691353176785,,98900000,,0.8724573941726224
2025-08-30,2025-10-22,25700000,1224700000,0.91,,929700000.0,128900000,39400000,0.020984730954519474,,89500000,,0.7591246835959827
