fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2020-12-31,2021-03-30,-192244,5000003,-47036.0,,-0.03844877693073384,
2019-12-31,2022-03-14,-29704000,-88711000,-264056.0,,0.33484009874761866,
2021-03-31,2022-03-14,-191775000,-521826000,,,0.36750755999126145,
2021-06-30,2022-03-14,-46161000,-566504000,,,0.08148397893042238,
2021-09-30,2022-03-14,32731000,391021000,,,0.08370650169683981,
2021-12-31,2022-03-14,-245390000,388103000,-2.27,,-0.6322806059216239,
2022-12-31,2023-03-16,-548980000,253705000,-1.63,,-2.1638517175459686,
2023-12-31,2024-02-23,-175767000,228017000,-7.23,,-0.7708504190477026,
2024-12-31,2025-02-20,-52286000,245247000,-1.94,,-0.21319730720457336,
2025-12-31,2026-02-23,-21021000,308182000,-0.73,,-0.0682096942715668,
