fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-12-31,2013-04-01,-554599,669325,,,14155571,349712,33346.0,-0.8285944795129422,,316366.0,,21.14902476375453
2012-12-31,2013-04-01,-1161777,8687369,-0.35,,36455418,-289884,47337.0,-0.1337317431779403,,-337221.0,,4.1963703855563175
2013-12-31,2014-03-21,-3660254,18400700,,,99763457,-2451570,707089.0,-0.1989192802447733,,-3158659.0,,5.421720749754085
2014-12-31,2015-03-25,-10550255,42570259,,,147358941,-4441020,521405.0,-0.24783159059473892,,-4962425.0,,3.4615467338359394
2015-12-31,2016-03-10,-17520679,98264852,,,206603114,-9304298,531258.0,-0.17830056875270112,,-9835556.0,,2.1025128496606293
2016-12-31,2017-02-28,-11202570,94833420,,,331323698,10442931,1958159.0,-0.11812892543577992,,8484772.0,,3.4937440619562175
2017-12-31,2018-03-07,-12094000,63508000,,,333842000,24761000,7367000.0,-0.19043270139195062,,17394000.0,,5.256692070290357
2018-12-31,2019-02-28,-16500000,42061000,,,386871000,22002000,5567000.0,-0.3922873921209672,,16435000.0,,9.197855495589739
2019-12-31,2020-02-26,-8039000,23927000,,,371133000,15253000,2711000.0,-0.335980273331383,,12542000.0,,15.511054457307644
2020-12-31,2021-03-18,245000,14918000,-0.96,,376967000,15780000,2271000.0,0.01642311301783081,,13509000.0,,25.269272020378068
2021-12-31,2022-02-28,-9443000,1861000,-1.36,,368931000,17041000,6412000.0,-5.0741536808167655,,10629000.0,,198.24341751746374
2022-12-31,2023-03-02,-12454000,-15162000,-2.2,,531984000,30758000,8511000.0,0.8213955942487798,,22247000.0,,
2023-12-31,2024-03-05,-4687000,-21293000,-4.57,,526804000,20934000,,0.2201192880289297,,,,
2024-12-31,2025-03-04,-9576000,-25369000,-317.02,,537048000,25988000,,0.3774685639954275,,,,
2025-12-31,2026-03-05,8770000,234000,-36.01,,507043000,21132000,,37.47863247863248,,,,2166.8504273504273
