fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-12-31,2012-03-13,22367000,220793000,2.14,,0.10130303044027664,
2010-12-31,2012-03-13,12050000,226970000,0.96,,0.053090716834823984,
2011-12-31,2012-03-13,14508000,236661000,1.28,,0.061302876266051444,
2012-12-31,2013-03-18,1535000,199553000,-0.43,,0.007692192049230029,
2013-12-31,2014-03-17,15626000,212605000,1.89,,0.07349780108652196,
2014-12-31,2015-03-16,7247000,216861000,0.89,,0.03341771918417789,
2015-12-31,2016-03-11,7356000,210332000,0.92,,0.034973280337751746,
2016-12-31,2017-03-16,14069000,196260000,2.05,,0.07168551920921228,
2017-12-31,2018-03-15,62158000,258910000,9.69,,0.2400757019813835,
2018-12-31,2019-03-14,43231000,286787000,6.6,,0.15074253714429175,
2019-12-31,2020-03-12,66922000,350338000,10.5,,0.19102124234310866,
2020-12-31,2021-03-15,9748000,364015000,1.05,,0.026779116245209674,
2021-12-31,2022-03-14,3352000,375885000,0.0,,0.008917621080915705,
2022-12-31,2023-03-10,5439000,404688000,0.33,,0.01343998339461511,
2023-12-31,2024-03-15,43781000,438963000,6.23,,0.09973733549296866,
2024-12-31,2025-03-11,108612000,549338000,15.34,,0.19771433980536574,
