fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-04-30,2011-06-24,128258000,513516000,2.15,,0.24976436956200002,
2010-04-30,2011-06-24,143543000,722436000,2.41,,0.19869303301607338,
2011-04-30,2011-06-24,171889000,977889000,2.8,,0.17577557371030864,
2012-04-30,2012-06-26,212746000,1017568000,3.47,,0.20907300544042265,
2013-04-30,2013-06-26,144225000,988356000,2.39,,0.14592414069424378,
2014-04-30,2014-06-27,160510000,1182248000,2.7,,0.13576677651389557,
2015-04-30,2015-06-26,176868000,1055040000,2.97,,0.1676410373066424,
2016-04-30,2016-06-29,145782000,1037106000,2.48,,0.14056615235086867,
2017-04-30,2017-06-29,113643000,1003137000,1.95,,0.11328761674626696,
2018-04-30,2018-06-29,192186000,1190557000,3.32,,0.16142528245182716,
2019-04-30,2019-07-01,168263000,1181347000,2.91,,0.14243317162527183,
2020-04-30,2020-06-26,-74287000,933624000,-1.32,,-0.07956843440185771,
2021-04-30,2021-07-06,148256000,1091291000,2.63,,0.13585377319156852,
2022-04-30,2022-06-24,148309000,1142269000,2.62,,0.1298371924651724,
2023-04-30,2023-06-26,17233000,1045027000,0.31,,0.016490483021012855,
2024-04-30,2024-06-26,-200319000,739716000,-3.65,,-0.27080528202715637,
2025-04-30,2025-06-25,84161000,752206000,1.53,,0.11188557389863947,
2026-04-30,2026-06-24,221617000,848242000,4.16,,0.26126624241666885,
