fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2009-06-28,2011-08-17,30325000,1224748000,0.34,,0.024760195566761487,
2010-06-27,2011-08-17,152290000,2028048000,1.45,,0.07509191103958092,
2011-06-26,2011-08-17,146500000,2261564000,1.33,,0.0647781800559259,
2012-06-24,2012-08-21,44412000,2559891000,0.39,,0.017349176195392696,
2013-06-30,2013-08-28,86925000,2806652000,0.74,,0.030971064456868896,
2014-06-29,2014-08-27,124191000,2990146000,1.01,,0.041533423451563904,
2015-06-28,2015-08-27,-64051000,2466356000,-0.57,,-0.025969892424289112,
2016-06-26,2016-08-25,-21536000,2367824000,-0.21,100850243.0,-0.009095270594436072,23.478614721830667
2017-06-25,2017-08-23,-98118000,2222805000,-1.0,,-0.044141523885361064,
2018-06-24,2018-08-20,-279968000,2067136000,-2.81,,-0.1354376296479767,
2019-06-30,2019-08-21,-375100000,2036200000,-3.62,,-0.18421569590413514,
2020-06-28,2020-08-19,-191700000,2083100000,-1.78,,-0.09202630694637799,
2021-06-27,2021-08-18,-523900000,2116500000,-4.66,,-0.24753130167729742,
2022-06-26,2022-08-22,-200900000,2439300000,-1.67,,-0.08235969335465093,
2023-06-25,2023-08-23,-329900000,1621900000,-2.65,,-0.20340341574696344,
2024-06-30,2025-08-26,-864200000,882100000,-6.88,,-0.979707516154631,
2025-06-29,2025-08-26,-1609200000,-447100000,-11.39,,3.5991948110042498,
2025-09-29,2026-08-20,420200000,757100000,2.22,,0.5550125478800687,
2026-06-28,2026-08-20,-415800000,930200000,-10.64,,-0.4470006450225758,
