fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-12-31,2018-03-19,-1043000,112716000,,,70358000,5131000,36290000,-0.00925334468930764,,-31159000,,0.6242059689839952
2017-12-31,2018-03-19,-16816000,656647000,,,292999000,-2899000,98722000,-0.0256088887941314,,-101621000,,0.44620473405041067
2018-12-31,2019-03-01,36512000,832934000,,,249832000,232409000,165360000,0.04383540592651999,,67049000,,0.29994213226978367
2019-12-31,2020-02-25,2784000,937177000,,,234808000,203948000,110143000,0.002970623478809232,,93805000,,0.25054818886933844
2020-12-31,2021-02-24,-338684000,593061000,,,169477000,105810000,21239000,-0.5710778486530054,,84571000,,0.2857665568971826
2021-12-31,2022-02-23,-42225000,592096000,,,255018000,-16248000,39994000,-0.07131444900826893,,-56242000,,0.4307038047884127
2022-12-31,2023-02-22,48278000,765977000,,,339125000,33231000,71884000,0.06302800214627854,,-38653000,,0.4427352257313209
2023-12-31,2024-02-21,74403000,772488000,,,326018000,285355000,135866000,0.09631605927859073,,149489000,,0.4220363293669287
2024-12-31,2025-02-19,30644000,793520000,,,450748000,234886000,173153000,0.03861780421413449,,61733000,,0.568036092348019
2025-12-31,2026-02-18,21223000,805616000,,,668545000,214673000,294562000,0.02634381640881015,,-79889000,,0.8298556632440269
