fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2010-12-31,2012-03-06,1113920,12192947,0.56,,948984,1601369.0,189150,0.09135773328630067,,1412219.0,,0.07783056877061796
2011-12-31,2012-03-06,698257,12990543,0.35,,1176915,793532.0,621598,0.05375117883832878,,171934.0,,0.09059782951336215
2012-12-31,2014-03-05,693931,11794745,0.35,,1389531,,566519,0.05883391289934628,,,,0.11780932949377032
2013-12-31,2014-03-05,682173,12599818,0.34,,1401985,,762537,0.054141496329550155,,,,0.11127025803071124
2014-12-31,2015-03-05,648770,13338465,0.32,,1289497,,434463,0.04863903005330823,,,,0.09667506718351775
2015-12-31,2016-03-02,135007,13495215,0.07,,1715102,,2866671,0.010004064403568227,,,,0.1270896388090149
2016-12-31,2017-03-03,-65061,13459160,-0.03,,4836834,916947.0,2064426,-0.00483395694827909,,-1147479.0,,0.35937116432229055
2017-12-31,2018-03-02,-226147,12957931,-0.11,,3966299,204689.0,230089,-0.017452400387067968,,-25400.0,,0.3060904553358094
2018-12-31,2019-03-01,139465,13111030,0.07,,4308188,1224765.0,543145,0.010637226823521874,,681620.0,,0.3285926429883846
2019-12-31,2020-03-03,-813558,12256698,-0.41,,4622843,-477031.0,478353,-0.06637660485719726,,-955384.0,,0.37716871216048564
2020-12-31,2021-03-03,-439320,11839346,-0.22,,3596053,-398828.0,149916,-0.03710677937784739,,-548744.0,,0.3037374699582224
2021-03-31,2022-03-31,-1676000,28266000,-0.03,,1739000,,23700000,-0.05929385127007712,,,,0.0615226774216373
2021-12-31,2022-03-31,-94007000,123179000,-1.12,,141732000,-24099000.0,85372000,-0.7631739176320639,,-109471000.0,,1.1506182060253778
2022-12-31,2023-03-31,-90791000,117754000,-0.82,,199933000,-34066000.0,61116000,-0.7710226404198584,,-95182000.0,,1.6978871206073678
2023-12-31,2024-03-20,-73421000,222489000,-0.35,,155617000,4263000.0,75168000,-0.32999833699643577,,-70905000.0,,0.6994368260902786
2024-12-31,2025-03-03,-72418000,244445000,-0.21,,543066000,-24422000.0,267940000,-0.29625478123913357,,-292362000.0,,2.221628587207756
2025-12-31,2026-02-27,-661416000,140445000,-1.66,,6417737000,-123180000.0,1060189000,-4.709430738011321,,-1183369000.0,,45.69573142511303
