fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2011-08-31,2012-12-14,-8235,1765,,,220735,-313.0,212500.0,-4.665722379603399,,-212813.0,,125.06232294617564
2012-08-31,2012-12-14,-129673,-92908,,,417040,-12995.0,,1.3957140396951824,,,,
2013-08-31,2013-11-27,-317080,-182080,,,668889,280609.0,212500.0,1.741432337434095,,68109.0,,
2013-12-31,2015-04-15,-8579246,12617690,,,6847922,-6052022.0,78634.0,-0.6799379284163741,,-6130656.0,,0.542723905881346
2014-12-31,2015-04-15,-14307104,10480743,,,5835403,,57669.0,-1.3650848990381694,,,,0.5567737897971546
2015-12-31,2016-03-30,-12507471,6608665,,,10299723,,1663.0,-1.892586626799815,,,,1.5585179457575773
2016-12-31,2017-03-31,-54206106,16169475,,,4804390,-8787175.0,16793.0,-3.352372665160743,,-8803968.0,,0.2971271485314149
2017-12-31,2018-03-30,-3595132,14301459,,,4862184,1494195.0,9264.0,-0.25138218415337904,,1484931.0,,0.3399781798486434
2018-12-31,2019-03-29,-7300458,9912788,,,4518306,-6463957.0,0.0,-0.7364686907457316,,-6463957.0,,0.45580577331019284
2019-12-31,2020-03-26,-12775025,17213251,,,4333675,-6399404.0,,-0.7421622446567473,,,,0.2517638881812622
2020-12-31,2021-03-16,-10893466,12215524,,,963971,-4267193.0,,-0.891772305469663,,,,0.07891360206897387
2021-12-31,2022-03-22,-5645179,18394257,-0.55,,1421103,-4738067.0,,-0.30689899570284357,,,,0.07725797242041361
2022-12-31,2023-03-22,-6552353,13647134,-0.46,,1073156,-4646765.0,,-0.4801266698194654,,,,0.078635997858598
2023-12-31,2024-03-21,-4134578,9795641,-2.71,,809585,-4114219.0,,-0.4220834552838349,,,,0.0826474755455003
2024-12-31,2025-03-18,-3960275,6007180,-2.57,,894263,-2817478.0,,-0.6592569225493493,,,,0.14886569072343428
2025-12-31,2026-03-12,-2680860,7395822,-1.58,,968025,-2286651.0,,-0.36248303434019913,,,,0.13088808789611214
