fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2013-12-31,2016-03-30,-9927000,10228000,,,,-8908000,59000,-0.9705709816190848,,-8967000,,
2014-12-31,2016-03-30,-21724000,59030000,,,3147000.0,-11700000,1397000,-0.3680162629171608,,-13097000,,0.0533118753176351
2015-12-31,2016-03-30,-37483000,103050000,,,6308000.0,-33308000,2322000,-0.3637360504609413,,-35630000,,0.06121300339640951
2016-12-31,2017-03-16,-50722000,59064000,,,7986000.0,-46015000,4746000,-0.8587633753216849,,-50761000,,0.1352092645266152
2017-12-31,2018-03-16,-33150000,60162000,-0.95,,2810000.0,-33649000,1405000,-0.5510122668794255,,-35054000,,0.046707223828995045
2018-12-31,2019-03-14,-21138000,41398000,-0.59,,2947000.0,-16537000,122000,-0.5106043770230446,,-16659000,,0.07118701386540413
2019-12-31,2020-03-16,668629000,755631000,14.44,,61246000.0,-18270000,204000,0.8848617910064569,,-18474000,,0.08105278899356962
2020-12-31,2021-03-16,-11221000,348639000,-0.36,,5105000.0,-65149000,3727000,-0.03218515427132363,,-68876000,,0.014642653288932104
2021-12-31,2022-03-15,-17414000,269385000,-0.58,,5792000.0,69445000,3525000,-0.06464353991499155,,65920000,,0.02150082595541697
2022-12-31,2023-03-15,-32900000,240402000,-1.08,,5701000.0,-14824000,585000,-0.13685410271129192,,-15409000,,0.023714444971339673
2023-12-31,2024-03-15,-24557000,218846000,-0.81,,7769000.0,-18725000,362000,-0.11221132668634565,,-19087000,,0.03549984920903283
2024-12-31,2025-03-18,-38531000,182268000,-1.26,,16825000.0,-30963000,1304000,-0.2113975025786205,,-32267000,,0.09230912721925955
2025-12-31,2026-03-13,-45540000,140350000,-1.49,,9732000.0,-39920000,289000,-0.3244745279657998,,-40209000,,0.06934093338083364
