fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2015-03-12,-4301000,-89865000,-3.24,,,,526000,0.047860679908752014,,,,
2013-12-31,2015-03-12,12032000,-78372000,1.91,,30371000.0,,156000,-0.15352421783289952,,,,
2014-12-31,2015-03-12,13018000,72779000,3.28,,14639000.0,,1529000,0.17887027851440662,,,,0.20114318690831146
2015-12-31,2016-03-08,-15752000,61034000,-1.1,,2915000.0,,551000,-0.2580856571746895,,,,0.047760264770455814
2016-12-31,2017-03-08,-22997000,63901000,-1.48,,3586000.0,,279000,-0.3598848218337741,,,,0.05611805762038153
2017-12-31,2018-03-07,-30704000,35934000,-1.72,,10187000.0,-28726000.0,315000,-0.8544553904380253,,-29041000.0,,0.2834919574775978
2018-12-31,2019-03-06,-34497000,103295000,-1.63,,19133000.0,-34724000.0,507000,-0.3339658260322378,,-35231000.0,,0.18522677767558934
2019-12-31,2020-03-09,-41595000,91977000,,,55720000.0,-4632000.0,1240000,-0.4522326233732346,,-5872000.0,,0.6058036248192483
2020-12-31,2021-03-01,-28837000,171355000,-0.81,,17831000.0,-48124000.0,2637000,-0.1682880569577777,,-50761000.0,,0.10405882524583467
2021-12-31,2022-03-01,-78882000,550033000,-1.77,,21974000.0,-69502000.0,2050000,-0.14341321338901483,,-71552000.0,,0.0399503302529121
2022-12-31,2023-03-01,-125373000,721497000,-2.06,,32649000.0,-98430000.0,2894000,-0.17376787429469562,,-101324000.0,,0.045251747408513135
2023-12-31,2024-02-29,-182393000,927921000,-2.73,,36877000.0,-145327000.0,5617000,-0.19656091412954335,,-150944000.0,,0.03974152972074131
2024-12-31,2025-02-27,-234330000,754903000,-3.01,,43236000.0,-181389000.0,3075000,-0.3104107415124857,,-184464000.0,,0.05727358349350844
2025-12-31,2026-02-26,-345910000,581760000,-4.36,,51403000.0,-279118000.0,799000,-0.5945922717271728,,-279917000.0,,0.08835774202420242
