fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2016-12-31,2019-03-11,-22975000,-56562000,,,0.4061914359463951,
2017-12-31,2019-03-11,-33877000,58707000,,,-0.5770521402899144,
2018-12-31,2019-03-11,-43021000,21600000,,,-1.991712962962963,
2019-12-31,2020-03-12,-52807000,129220000,,,-0.40865965020894596,
2020-12-31,2021-03-19,-62131000,72799000,-3.09,,-0.8534595255429333,
2021-12-31,2022-03-17,-88696000,64412000,-3.99,,-1.3770104949388313,
2022-12-31,2023-03-21,-93867000,74051000,-1.52,,-1.2675993571997677,
2023-12-31,2024-03-21,-101167000,51099000,-0.57,,-1.9798234799115442,
2024-12-31,2025-03-26,-37450000,22149000,-0.19,,-1.6908212560386473,
2025-12-31,2026-03-17,-79199000,186290000,-1.87,,-0.42513822534757634,
