fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2014-12-31,2016-03-10,109799000,1517266000,,,1428155000,181605000,,0.07236634841880066,,,,0.9412687030487733
2015-12-31,2016-03-10,88758000,1727429000,,,1262587000,193152000,,0.05138156184711499,,,,0.7309052933579325
2016-12-31,2017-02-28,85855000,1629597000,,,1208778000,225643000,,0.0526848048934798,,,,0.741764988521702
2017-12-31,2018-02-27,98862000,1614905000,,,1470222000,212814000,,0.06121846176710085,,,,0.9104077329626201
2018-12-31,2020-02-25,193688000,1823913000,1.75,,1317382000,254194000,,0.10619366164943174,,,,0.722283354524037
2019-12-31,2020-02-25,55400000,1739021000,0.49,,1487848000,246570000,,0.03185700460201458,,,,0.8555664365180179
2020-12-31,2021-03-01,-163330000,1554075000,-1.44,,1512740000,-77722000,,-0.10509788781107733,,,,0.9734021845792513
2021-12-31,2022-03-01,-143517000,1430986000,-1.26,,1649235000,40763000,,-0.10029238580950478,,,,1.1525165165836704
2022-12-31,2023-03-02,55922000,1441183000,0.49,,1620047000,187129000,,0.03880284460752035,,,,1.1241091519952706
2023-12-31,2024-02-27,19142000,1290992000,0.17,,1584730000,198065000,,0.014827357566894295,,,,1.2275289080025282
2024-12-31,2025-02-25,16143000,1243103000,0.15,,1551283000,163720000,,0.012986051839630345,,,,1.24791187858126
2025-12-31,2026-02-24,63088000,1134218000,0.64,,1625138000,176514000,,0.055622464111837404,,,,1.432826846338182
