fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2013-12-31,2016-03-08,-60259000,73533000,-3.85,,-0.8194824092584282,
2014-12-31,2016-03-08,-16422000,59290000,-0.52,,-0.2769775678866588,
2015-12-31,2016-03-08,-17592000,162432000,-0.45,,-0.10830378250591016,
2016-12-31,2017-03-01,23625000,313954000,0.56,,0.0752498773705702,
2017-12-31,2018-02-28,-48925000,282046000,-1.05,,-0.173464612155464,
2018-12-31,2019-02-26,-70409000,521681000,-1.31,,-0.1349656207529122,
2019-12-31,2020-02-25,26875000,593201000,0.46,,0.045305048373148395,
2020-12-31,2021-02-24,-69333000,572444000,-1.21,,-0.12111752415956845,
2021-12-31,2022-02-24,82631000,733504000,1.37,,0.11265241907337929,
2022-12-31,2023-02-27,-55181000,727496000,-0.93,,-0.07585058886921715,
2023-12-31,2024-02-29,-126087000,668796000,-2.08,,-0.18852834048050526,
2024-12-31,2025-02-27,-232618000,677611000,-3.58,,-0.3432913574307383,
2025-12-31,2026-02-25,-91923000,635587000,-1.24,,-0.14462693541560792,
