fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2012-12-31,2013-03-18,-6735281,-6131217,-0.22,,8776088,-1764445.0,,1.0985226913351787,,,,
2013-12-31,2014-01-30,-26153158,7522888,-0.6,,4763856,3855834.0,457696.0,-3.4764784481704365,,3398138.0,,0.6332482950696594
2014-12-31,2015-02-06,-15595358,15219737,,,6733778,,0.0,-1.0246798614194188,,,,0.44243721162855837
2015-12-31,2016-02-18,-11031931,11728500,,,6642012,-7321811.0,0.0,-0.9406088587628426,,-7321811.0,,0.5663138508760711
2016-12-31,2017-03-08,-11581430,24334359,,,3307998,-9887580.0,,-0.4759291173439169,,,,0.13593939334913238
2017-12-31,2018-03-07,-13029117,75426200,,,4313206,-12068383.0,,-0.17273993652073152,,,,0.05718445314758002
2018-12-31,2019-03-06,-7966911,71280375,-0.07,,6021761,-17844266.0,,-0.11176864599828494,,,,0.084479928732137
2019-12-31,2020-03-11,-26558544,62050822,-0.21,,6900543,-14587364.0,527000.0,-0.42801276669630584,,-15114364.0,,0.11120792243493567
2020-12-31,2021-03-11,-19711000,44110000,-0.14,,7584000,-15621000.0,54000.0,-0.4468601224212197,,-15675000.0,,0.1719338018589889
2021-12-31,2022-03-01,-32609000,66074000,-0.21,,9880000,-22839000.0,745000.0,-0.49352241426279625,,-23584000.0,,0.1495293156158247
2022-12-31,2023-03-09,-59801000,95975000,-0.31,,18676000,-51714000.0,3657000.0,-0.6230893461839021,,-55371000.0,,0.19459234175566553
2023-12-31,2024-03-28,-140775000,-8410000,-7.28,,35914000,-54987000.0,4656000.0,16.73900118906064,,-59643000.0,,
2024-12-31,2025-03-20,-15164000,4012000,-175.99,,17661000,-14345000.0,141000.0,-3.7796610169491527,,-14486000.0,,4.4020438683948155
2025-12-31,2026-03-26,-5054000,15758000,-52.87,,8531000,-7723000.0,61000.0,-0.3207259804543724,,-7784000.0,,0.5413758091128316
