fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2013-12-31,2016-02-12,-12453000,567796000,,,-0.021932172822633482,
2014-12-31,2016-02-12,-43610000,588779000,,,-0.07406853844991075,
2015-12-31,2016-02-12,-148874000,2679053000,,,-0.055569635987044674,
2016-12-31,2017-02-07,-220438000,2533587000,,,-0.08700628792301192,
2017-12-31,2018-02-15,-94420000,2660823000,,,-0.03548526151495233,
2018-12-31,2019-02-21,-119858000,3267179000,,,-0.036685470860335474,
2019-12-31,2020-02-19,-305361000,3435421000,-1.48,,-0.08888604919164202,
2020-12-31,2021-02-12,-162115000,4741816000,-0.72,,-0.034188378460910336,
2021-12-31,2022-02-10,-527777000,5341311000,-2.11,,-0.09881038568995515,
2022-12-31,2023-02-15,-101000000,4482000000,-0.42,,-0.02253458277554663,
2023-12-31,2024-02-15,-158000000,4526000000,-0.68,,-0.034909412284577994,
2024-12-31,2025-02-11,-112000000,4848000000,-0.48,,-0.0231023102310231,
2025-12-31,2026-02-11,23000000,4884000000,0.09,,0.004709254709254709,
