fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,roe,book_value_per_share
2015-07-31,2016-10-26,1587000,6444000,0.18,,0.2462756052141527,
2016-07-31,2016-10-26,983000,10596000,0.11,,0.09277085692714232,
2017-07-31,2017-10-30,-611000,10622000,-0.06,,-0.05752212389380531,
2018-07-31,2018-10-29,-1563000,10010000,,,-0.15614385614385615,
2019-07-31,2019-10-28,-3344000,6960000,,,-0.4804597701149425,
2020-07-31,2020-10-28,-559000,8885000,-0.05,,-0.06291502532357907,
2021-07-31,2021-11-09,8248000,33155000,0.59,,0.24877092444578494,
2022-07-31,2022-11-14,9714000,44188000,0.65,,0.21983343894269938,
2023-07-31,2023-10-30,-6102000,38864000,-0.43,,-0.15700905722519556,
2024-07-31,2024-10-29,-9171000,30896000,-0.65,,-0.2968345416882444,
2025-07-31,2025-10-28,-2392000,25901000,-0.17,,-0.09235164665456932,
