fiscal_year_end,filed_date,net_income,stockholders_equity,eps,shares_outstanding,liabilities,operating_cash_flow,capex,roe,book_value_per_share,free_cash_flow,fcf_per_share,debt_to_equity
2016-07-31,2018-09-13,-27438000,-124740000,,,,-11916000,5402000,0.21996151996151997,,-17318000,,
2017-07-31,2018-09-13,-35460000,-151142000,,,133067000.0,-6019000,7783000,0.2346138068835929,,-13802000,,
2018-07-31,2018-09-13,-33646000,240236000,,,207545000.0,17307000,13397000,-0.1400539469521637,,3910000,,0.8639213107111341
2019-07-31,2019-09-18,-28655000,308558000,-0.23,,295604000.0,58027000,25520000,-0.0928674673805249,,32507000,,0.9580176174333512
2020-07-31,2020-09-17,-115116000,484829000,-0.89,,1348629000.0,79317000,43072000,-0.2374362919709836,,36245000,,2.7816591004250983
2021-07-31,2021-09-16,-262029000,528895000,-1.93,,1728736000.0,202040000,48165000,-0.49542725871864923,,153875000,,3.268580720180754
2022-07-31,2022-09-15,-390278000,573300000,-2.77,,2259365000.0,321912000,69296000,-0.6807570207570207,,252616000,,3.940982033839177
2023-07-31,2023-09-14,-202335000,725112000,-1.4,,2883205000.0,462343000,97197000,-0.27903965180551416,,365146000,,3.976220225289335
2024-07-31,2024-09-12,-57706000,1274102000,-0.39,,3430866000.0,779846000,144588000,-0.04529150727335802,,635258000,,2.692771850291421
2025-07-31,2025-09-11,-41478000,1799273000,-0.27,,4620615000.0,972453000,164252000,-0.023052644040120647,,808201000,,2.5680455383924508
2026-07-31,2026-09-03,-63179000,2598261000,-0.39,,5268453000.0,1129654000,277304000,-0.024315878966739677,,852350000,,2.027684285758821
